byr,S,age5,age6,age7
1979,,,,1574
1980,,,6823,576
1981,,7598,12457,2352
1982,,7771,15740,1282
1983,,2586,9647,970
1984,,1513,9124,819
1985,,3248,9968,879
1986,8320,4648,9839,690
1987,7109,3484,12382,704
1988,5773,4401,10272,706
1989,4184,2009,9943,217
1990,11344,2319,6038,128
1991,13475,2033,6699,277
1992,11881,3337,3677,56
1993,8442,2833,5199,72
1994,4792,6769,6457,375
1995,3228,5361,9738,390
1996,1853,4534,4494,229
1997,3433,3719,10803,1140
1998,5269,3911,12817,639
1999,4617,7251,11120,519
2000,9917,4345,6702,115
2001,12306,2505,3658,158
2002,7776,3500,3463,108
2003,12168,3125,3500,62
2004,18323,1460,1607,104
2005,12545,2591,3652,58
2006,5780,2601,1984,48
2007,4493,1168,872,47
2008,3539,620,679,126
2009,3835,1810,1601,82
2010,3082,2450,2275,37
2011,5212,4017,2724,26
2012,2948,4542,1066,228
2013,1541,1975,1604,20
2014,2541,2299,1656,94
2015,4172,796,1805,1
2016,6328,2243,1155,1
2017,6678,896,608,
2018,2934,1443,,
2019,4055,,,
2020,2443,,,
2021,4024,,,
2022,2047,,,
2023,1975,,,
