byr,S,age3,age4,age5,age6
2003,9238,662,2691,4995,184
2004,12016,64,1590,1538,270
2005,11156,321,2142,2469,235
2006,8945,327,1737,1692,205
2007,9622,337,2059,2292,207
2008,5806,132,1560,1957,246
2009,3455,491,1417,1102,254
2010,4449,918,989,4721,516
2011,3545,367,4181,4289,419
2012,4509,1429,3235,3763,200
2013,4401,487,1551,1420,397
2014,2499,812,1445,3913,482
2015,10241,105,1162,1766,321
2016,7142,282,1285,3145,107
2017,5700,455,610,1423,173
2018,3129,225,1399,1334,27
2019,5603,193,204,593,
2020,3624,628,2546,,
2021,4300,165,,,
2022,3123,,,,
2023,2338,,,,
2024,3331,,,,
